id_circuit nb_prod_in_family count pourcentage
11 553 7045 32.473
45 590 6292 29.002
36 186 5915 27.264
34 264 5865 27.034
37 598 5864 27.029
49 567 5746 26.485
32 338 5693 26.241
8 225 5641 26.001
21 173 4870 22.448
10 229 4860 22.401
17 185 4802 22.134
12 204 4608 21.24
42 209 4591 21.162
1 317 4410 20.327
26 151 4279 19.723
27 223 4270 19.682
0 94 3966 18.281
41 137 3958 18.244
22 62 3750 17.285
40 168 3650 16.824
2 45 3478 16.031
29 349 3436 15.838
14 109 3378 15.57
35 31 3256 15.008
7 442 3208 14.787
18 66 3178 14.649
5 117 3123 14.395
16 36 2923 13.473
30 86 2864 13.201
33 47 2813 12.966
38 149 2413 11.122
13 78 1969 9.076
46 84 1882 8.675
23 6 1772 8.168
4 32 1304 6.011
9 113 877 4.042
24 28 726 3.346
6 8 655 3.019
31 15 353 1.627
15 11 281 1.295
43 7 186 0.857
47 6 137 0.631
3 4 131 0.604
25 9 90 0.415
48 3 88 0.406
19 1 33 0.152
44 26 29 0.134
39 1 19 0.088
20 2 15 0.069
28 4 5 0.023
