id_circuit nb_prod_in_family count pourcentage
144 257 6381 29.412
224 393 5428 25.02
176 314 5279 24.333
264 156 5168 23.821
252 125 4800 22.125
200 186 4774 22.005
174 190 4626 21.323
104 126 4604 21.221
218 67 4282 19.737
150 122 4265 19.659
124 125 3971 18.304
138 86 3893 17.944
143 109 3890 17.93
223 129 3866 17.82
49 77 3765 17.354
249 45 3755 17.308
201 118 3543 16.331
219 81 3443 15.87
260 49 3423 15.778
214 40 3390 15.626
13 114 3385 15.603
103 31 3256 15.008
115 113 3218 14.833
47 69 3092 14.252
261 65 3055 14.082
48 32 3042 14.022
185 18 3016 13.902
134 107 2994 13.8
229 21 2926 13.487
77 49 2926 13.487
56 41 2874 13.247
216 74 2821 13.003
262 23 2819 12.994
100 36 2738 12.62
120 148 2671 12.312
244 41 2632 12.132
118 110 2590 11.938
135 170 2534 11.68
236 31 2529 11.657
114 27 2513 11.583
39 41 2497 11.51
241 48 2490 11.477
68 14 2488 11.468
6 130 2466 11.367
78 24 2386 10.998
160 46 2368 10.915
5 39 2338 10.777
256 37 2318 10.684
140 12 2245 10.348
128 26 2193 10.108
129 31 2130 9.818
66 30 2064 9.514
222 24 2029 9.352
122 9 1956 9.016
217 21 1952 8.997
235 11 1922 8.859
259 46 1904 8.776
102 9 1898 8.749
165 84 1882 8.675
206 32 1812 8.352
188 13 1798 8.288
65 25 1768 8.149
54 46 1767 8.145
106 90 1729 7.97
61 79 1685 7.767
220 6 1677 7.73
146 34 1676 7.725
145 27 1657 7.638
238 21 1657 7.638
179 19 1640 7.559
4 41 1623 7.481
131 13 1609 7.416
116 28 1603 7.389
8 60 1572 7.246
73 1 1541 7.103
42 13 1521 7.011
191 20 1507 6.946
243 76 1413 6.513
86 40 1372 6.324
111 10 1348 6.213
82 15 1343 6.19
166 10 1327 6.117
245 20 1321 6.089
182 5 1321 6.089
209 24 1277 5.886
147 30 1274 5.872
34 11 1274 5.872
53 65 1272 5.863
193 21 1259 5.803
181 4 1254 5.78
9 7 1243 5.729
126 10 1230 5.67
196 15 1224 5.642
46 25 1219 5.619
137 20 1216 5.605
98 24 1211 5.582
113 7 1165 5.37
63 24 1153 5.315
199 2 1140 5.255
121 68 1138 5.245
130 10 1107 5.103
205 14 1101 5.075
253 15 1101 5.075
152 19 1085 5.001
3 48 1084 4.997
85 19 1078 4.969
52 43 1025 4.725
159 35 1021 4.706
141 62 1004 4.628
60 54 988 4.554
247 53 956 4.407
161 11 951 4.383
41 26 949 4.374
154 25 948 4.37
10 17 914 4.213
80 22 914 4.213
183 7 875 4.033
177 10 874 4.029
207 20 874 4.029
156 18 857 3.95
96 19 846 3.9
240 97 806 3.715
119 37 794 3.66
198 6 770 3.549
233 9 748 3.448
204 6 739 3.406
27 10 730 3.365
123 28 713 3.286
51 7 710 3.273
101 5 706 3.254
75 4 700 3.227
203 8 679 3.13
254 28 669 3.084
81 4 668 3.079
213 4 650 2.996
194 8 645 2.973
84 21 603 2.779
195 15 598 2.756
180 10 577 2.66
55 19 551 2.54
59 8 547 2.521
210 14 516 2.378
87 10 515 2.374
149 10 488 2.249
70 21 481 2.217
28 4 476 2.194
33 58 473 2.18
178 7 462 2.13
117 14 440 2.028
263 3 423 1.95
239 6 414 1.908
255 15 404 1.862
246 88 381 1.756
192 4 374 1.724
158 15 372 1.715
43 14 370 1.705
187 4 360 1.659
64 11 360 1.659
57 5 351 1.618
79 5 338 1.558
153 8 327 1.507
72 3 326 1.503
32 3 321 1.48
12 7 320 1.475
58 4 315 1.452
93 5 303 1.397
242 5 298 1.374
91 1 292 1.346
189 2 282 1.3
89 1 257 1.185
67 7 249 1.148
107 9 249 1.148
136 8 244 1.125
127 3 241 1.111
232 4 232 1.069
202 1 225 1.037
197 1 215 0.991
190 1 189 0.871
50 1 175 0.807
221 1 173 0.797
211 2 173 0.797
76 2 165 0.761
71 2 160 0.737
163 3 148 0.682
208 3 147 0.678
30 11 139 0.641
226 5 125 0.576
14 2 123 0.567
83 3 121 0.558
230 2 119 0.549
110 5 115 0.53
237 1 107 0.493
132 1 91 0.419
69 9 90 0.415
175 2 80 0.369
26 4 76 0.35
250 1 75 0.346
228 2 70 0.323
40 2 68 0.313
62 3 64 0.295
7 5 60 0.277
29 4 58 0.267
133 1 54 0.249
99 2 47 0.217
105 5 42 0.194
148 2 41 0.189
248 6 38 0.175
97 2 38 0.175
139 1 36 0.166
95 2 36 0.166
142 2 34 0.157
23 1 33 0.152
108 1 32 0.147
251 1 30 0.138
257 2 27 0.124
227 1 23 0.106
22 4 22 0.101
88 1 22 0.101
155 2 19 0.088
169 1 19 0.088
225 1 18 0.083
164 2 15 0.069
172 2 15 0.069
184 2 15 0.069
173 5 14 0.065
94 1 14 0.065
258 3 12 0.055
11 4 12 0.055
186 1 11 0.051
157 3 11 0.051
25 1 10 0.046
31 4 9 0.041
44 1 8 0.037
112 2 8 0.037
90 1 7 0.032
231 2 5 0.023
45 1 5 0.023
74 1 2 0.009
