id_prod count pourcentage
5262 1800 8.297
5653 1787 8.237
2450 1728 7.965
3755 1716 7.91
5647 1647 7.592
5384 1600 7.375
7007 1541 7.103
7011 1496 6.896
1080 1489 6.863
5762 1473 6.79
6011 1465 6.753
4129 1460 6.73
6622 1391 6.412
5135 1365 6.292
326 1276 5.882
6034 1252 5.771
6159 1251 5.766
3844 1241 5.72
6387 1239 5.711
5238 1236 5.697
5237 1214 5.596
1560 1208 5.568
3869 1190 5.485
5860 1156 5.328
7041 1140 5.255
3845 1129 5.204
4491 1126 5.19
3388 1122 5.172
5746 1111 5.121
5743 1106 5.098
5685 1106 5.098
3190 1079 4.973
1951 1078 4.969
4771 1075 4.955
2039 1073 4.946
3030 1058 4.877
5253 1048 4.831
6522 1047 4.826
3799 1046 4.821
3031 1040 4.794
2968 1037 4.78
3278 1027 4.734
4370 1002 4.619
2046 1001 4.614
2879 987 4.549
3871 987 4.549
2865 982 4.526
2981 977 4.503
497 973 4.485
2375 955 4.402
1984 931 4.291
4742 920 4.241
2311 914 4.213
6580 906 4.176
5134 904 4.167
1484 899 4.144
3192 895 4.125
3634 893 4.116
1295 890 4.102
6912 882 4.065
1497 874 4.029
4790 873 4.024
2032 858 3.955
170 858 3.955
6232 849 3.913
1186 848 3.909
216 847 3.904
1198 846 3.9
3046 838 3.863
628 832 3.835
3798 830 3.826
235 826 3.807
5282 820 3.78
3963 819 3.775
4737 811 3.738
4380 802 3.697
3753 800 3.687
4949 799 3.683
5785 796 3.669
1133 791 3.646
277 785 3.618
5759 781 3.6
222 780 3.595
5640 761 3.508
503 759 3.499
2458 754 3.475
5729 753 3.471
3751 749 3.452
3793 749 3.452
4363 745 3.434
5559 744 3.429
7101 740 3.411
5126 736 3.392
3829 735 3.388
5354 734 3.383
1702 732 3.374
2050 730 3.365
1478 728 3.356
3855 726 3.346
2528 726 3.346
1598 725 3.342
131 722 3.328
1986 722 3.328
869 720 3.319
3574 714 3.291
6654 713 3.286
1983 709 3.268
1406 709 3.268
5719 707 3.259
223 706 3.254
989 704 3.245
2823 702 3.236
6922 701 3.231
1590 700 3.227
495 699 3.222
2687 699 3.222
6525 697 3.213
6538 696 3.208
215 690 3.18
5748 689 3.176
4526 689 3.176
3014 686 3.162
5726 683 3.148
635 681 3.139
5451 678 3.125
6524 676 3.116
3867 674 3.107
3401 671 3.093
5281 670 3.088
6655 668 3.079
